カラット,カット,色,透明度,奥行き,テーブル,価格,長さ,幅,深さ,鑑定書,産地
1.66,Very Good,D,VVS1,63.6,60.7,8894,5.4,5.29,3.19,合同会社高橋情報鑑定所,ロシア
0.74,Very Good,D,VVS2,58.5,57.3,1845,4.38,4.31,2.68,株式会社山口運輸鑑定所,カナダ
2.38,Very Good,D,VS1,62.0,61.6,15370,6.18,5.93,3.95,有限会社中川印刷鑑定所,ロシア
1.76,Very Good,J,SI2,58.0,62.4,9217,5.62,5.49,3.41,木村食品有限会社鑑定所,オーストラリア
1.51,Very Good,D,VVS2,60.7,63.9,7455,5.06,4.94,3.21,佐藤保険有限会社鑑定所,オーストラリア
0.57,Premium,F,SI1,63.7,63.8,1142,3.6,3.52,2.28,松田銀行有限会社鑑定所,オーストラリア
2.22,Premium,G,I1,77.4,59.0,14986,5.75,5.57,3.94,有限会社斉藤鉱業鑑定所,オーストラリア
0.82,Ideal,F,VVS2,55.9,57.8,2674,4.13,4.18,2.57,橋本農林株式会社鑑定所,カナダ
1.68,Ideal,E,VS2,56.7,52.6,10586,5.42,5.17,2.72,高橋運輸有限会社鑑定所,ボツワナ
0.57,Very Good,I,VS2,59.9,60.7,1130,3.75,3.6,2.34,合同会社佐藤鉱業鑑定所,ボツワナ
1.03,Premium,E,VS2,55.1,57.0,3786,4.54,4.4,2.58,合同会社小林水産鑑定所,カナダ
0.58,Ideal,G,IF,49.1,60.1,1380,3.78,3.76,2.24,井上ガス株式会社鑑定所,ボツワナ
0.48,Good,G,SI1,66.4,63.4,593,3.53,3.57,2.15,遠藤運輸株式会社鑑定所,ボツワナ
0.66,Good,E,IF,61.7,59.9,1132,4.08,4.05,2.48,高橋電気株式会社鑑定所,ボツワナ
1.69,Ideal,I,VS1,62.8,57.8,9348,5.54,5.51,4.0,佐藤ガス有限会社鑑定所,ボツワナ
0.48,Ideal,H,I1,67.7,62.3,846,3.72,3.65,2.36,株式会社小林銀行鑑定所,ボツワナ
0.85,Ideal,G,VVS1,57.6,58.0,2472,4.2,4.06,2.44,林水産合同会社鑑定所,南アフリカ
2.86,Very Good,H,VVS1,63.3,62.9,23555,6.4,6.34,4.19,株式会社佐藤印刷鑑定所,カナダ
1.59,Premium,G,VS2,59.6,55.8,9214,4.89,4.73,3.17,株式会社青木銀行鑑定所,カナダ
0.43,Ideal,E,SI1,51.4,60.9,689,3.73,3.7,2.05,田中ガス有限会社鑑定所,オーストラリア
1.27,Good,D,VS2,57.2,59.9,3483,5.24,5.09,3.12,清水保険株式会社鑑定所,ロシア
1.14,Fair,F,VVS1,57.9,58.5,3113,4.44,4.47,2.34,有限会社渡辺農林鑑定所,ボツワナ
1.65,Premium,G,VS1,62.6,62.5,8621,5.13,4.98,3.1,合同会社小林情報鑑定所,カナダ
1.63,Very Good,E,VS1,71.0,61.9,7869,5.95,5.69,3.59,中村保険株式会社鑑定所,南アフリカ
1.07,Premium,F,VS1,62.2,61.3,3939,5.01,4.76,2.83,有限会社山本食品鑑定所,ボツワナ
0.7,Very Good,J,VS1,59.8,64.7,1427,3.92,3.9,2.59,有限会社石井鉱業鑑定所,カナダ
0.62,Ideal,E,VS1,55.1,60.9,1273,3.54,3.37,1.91,藤井電気有限会社鑑定所,南アフリカ
0.53,Premium,G,VS2,60.0,56.4,970,3.69,3.68,2.38,有限会社山本印刷鑑定所,ロシア
0.81,Premium,E,IF,66.6,59.9,2285,3.97,3.84,2.09,斎藤運輸合同会社鑑定所,南アフリカ
0.87,Very Good,H,VVS2,58.3,59.8,2322,4.41,4.37,2.64,小林銀行有限会社鑑定所,ボツワナ
0.5,Ideal,J,VS1,54.1,57.4,989,3.55,3.48,2.3,有限会社佐藤印刷鑑定所,南アフリカ
1.5,Ideal,F,I1,65.7,61.6,8934,5.81,5.84,3.47,株式会社山田農林鑑定所,オーストラリア
0.57,Premium,I,SI2,63.5,59.1,1127,4.08,3.96,2.54,阿部情報有限会社鑑定所,ボツワナ
1.41,Good,D,VVS1,56.4,63.1,5841,5.48,5.24,2.87,井上印刷合同会社鑑定所,カナダ
0.96,Premium,H,SI1,56.1,61.1,2985,4.02,3.96,2.55,佐藤保険有限会社鑑定所,カナダ
0.8,Premium,G,VVS2,60.9,60.7,2214,3.68,3.51,1.81,合同会社藤田建設鑑定所,南アフリカ
1.28,Premium,E,VVS1,50.1,62.0,5676,5.1,4.93,3.41,田中ガス合同会社鑑定所,オーストラリア
0.54,Premium,J,SI1,64.1,54.3,907,3.7,3.63,1.88,伊藤銀行有限会社鑑定所,オーストラリア
4.99,Good,G,VS1,62.3,59.2,61420,8.14,8.04,5.11,中島印刷有限会社鑑定所,ロシア
0.41,Ideal,F,I1,57.8,59.8,579,3.13,3.16,1.84,鈴木保険株式会社鑑定所,ボツワナ
0.73,Ideal,E,SI2,59.4,55.8,1679,4.03,3.89,2.57,高橋電気有限会社鑑定所,ロシア
1.05,Very Good,E,VVS1,61.8,60.2,3224,4.74,4.77,2.58,村上ガス合同会社鑑定所,オーストラリア
0.83,Very Good,I,SI2,63.7,59.3,2045,4.54,4.59,2.62,有限会社青木保険鑑定所,ボツワナ
1.59,Very Good,F,VVS1,67.0,60.6,7486,5.51,5.39,3.17,株式会社高橋保険鑑定所,ボツワナ
0.83,Good,I,VS2,51.7,61.3,2009,4.37,4.16,2.43,村上農林株式会社鑑定所,ボツワナ
0.87,Very Good,H,VVS1,60.9,60.4,2207,4.16,3.96,2.82,有限会社渡辺印刷鑑定所,ボツワナ
1.21,Very Good,G,VVS2,62.3,62.2,5197,5.37,5.36,3.46,高橋農林有限会社鑑定所,カナダ
1.16,Premium,D,VS1,57.4,60.8,4536,4.75,4.81,2.88,株式会社鈴木運輸鑑定所,南アフリカ
0.66,Very Good,G,VS2,53.8,62.9,1424,3.85,3.79,2.4,斉藤印刷有限会社鑑定所,ボツワナ
0.91,Premium,H,VVS2,69.7,57.8,2884,4.59,4.46,2.78,合同会社伊藤食品鑑定所,ロシア
0.67,Very Good,I,VVS1,58.4,64.2,1506,4.0,3.89,2.54,有限会社松本水産鑑定所,ボツワナ
0.66,Ideal,F,VS1,53.9,62.7,1692,3.87,3.87,2.1,清水通信株式会社鑑定所,ボツワナ
0.92,Ideal,E,SI1,53.8,57.4,2946,4.65,4.47,2.52,株式会社斉藤銀行鑑定所,ロシア
1.53,Good,H,VVS1,59.2,55.7,6751,5.21,4.98,3.19,佐々木保険合同会社鑑定所,カナダ
2.51,Ideal,D,I1,68.2,59.9,23575,6.23,6.21,4.0,有限会社山下鉱業鑑定所,南アフリカ
0.92,Premium,I,VS2,56.8,62.8,2398,4.42,4.32,2.38,加藤運輸株式会社鑑定所,ロシア
0.74,Good,G,SI2,59.1,60.0,1366,4.44,4.46,2.47,有限会社山本保険鑑定所,オーストラリア
1.56,Very Good,F,VVS1,58.5,62.7,6981,5.59,5.41,3.27,有限会社渡辺水産鑑定所,南アフリカ
0.91,Ideal,I,I1,66.6,57.3,3207,4.36,4.42,2.27,中村食品有限会社鑑定所,カナダ
2.06,Very Good,F,VVS1,62.0,55.4,12651,6.36,6.26,4.11,加藤銀行有限会社鑑定所,ボツワナ
1.21,Premium,E,VVS1,69.4,58.6,5262,4.87,4.64,3.01,有限会社井上水産鑑定所,南アフリカ
1.41,Premium,E,SI2,59.2,61.6,6518,5.16,5.1,3.38,株式会社阿部農林鑑定所,南アフリカ
1.97,Very Good,E,SI2,52.3,59.8,12910,5.72,5.83,3.75,有限会社鈴木鉱業鑑定所,カナダ
1.2,Premium,F,VVS2,57.8,64.7,3591,4.99,4.92,2.99,有限会社吉田ガス鑑定所,オーストラリア
1.1,Very Good,E,IF,61.9,59.9,3116,4.4,4.27,2.48,村上保険株式会社鑑定所,南アフリカ
2.86,Good,J,VVS2,52.6,61.7,18287,6.79,6.6,3.17,村上銀行合同会社鑑定所,南アフリカ
0.41,Premium,F,VVS1,62.9,60.2,500,3.5,3.47,2.15,株式会社坂本建設鑑定所,カナダ
1.15,Very Good,I,IF,55.0,55.7,4002,4.65,4.54,3.41,合同会社田中印刷鑑定所,オーストラリア
0.39,Premium,D,SI1,59.1,59.2,500,3.26,3.07,1.96,合同会社池田銀行鑑定所,ボツワナ
1.36,Fair,F,I1,65.3,55.5,4496,5.61,5.55,2.69,中村通信合同会社鑑定所,南アフリカ
3.05,Very Good,H,I1,61.4,64.5,23809,6.81,6.49,4.34,西村鉱業有限会社鑑定所,南アフリカ
0.87,Premium,J,VVS2,62.0,59.0,2553,4.3,4.27,2.74,株式会社山口農林鑑定所,オーストラリア
3.54,Very Good,G,SI2,72.3,59.1,36200,7.03,6.9,4.15,渡辺運輸有限会社鑑定所,ボツワナ
1.34,Premium,D,SI1,60.0,59.9,5684,5.27,5.31,2.79,合同会社山崎保険鑑定所,南アフリカ
0.21,Premium,H,SI2,62.6,61.0,500,3.0,3.0,1.83,有限会社伊藤水産鑑定所,ロシア
0.42,Very Good,H,IF,62.5,61.2,500,3.53,3.46,2.15,岡田電気株式会社鑑定所,オーストラリア
0.49,Ideal,F,VVS2,58.3,62.5,1029,3.74,3.78,2.17,高橋建設合同会社鑑定所,カナダ
0.41,Premium,G,SI1,67.4,62.6,502,3.67,3.75,2.32,株式会社福田鉱業鑑定所,オーストラリア
0.64,Very Good,I,VS2,64.5,61.1,991,3.98,3.72,2.54,坂本ガス株式会社鑑定所,南アフリカ
0.56,Very Good,I,SI1,60.1,56.8,900,3.84,3.8,2.39,合同会社山本ガス鑑定所,オーストラリア
0.59,Good,I,VVS1,62.0,60.5,877,3.54,3.42,2.25,有限会社中村情報鑑定所,ロシア
2.1,Good,J,SI1,53.7,59.3,11637,5.82,5.7,3.23,三浦印刷有限会社鑑定所,カナダ
0.54,Premium,D,SI2,55.9,62.4,838,3.81,3.69,2.46,合同会社木村保険鑑定所,ボツワナ
0.65,Ideal,G,VVS2,54.5,58.1,1403,4.08,4.21,2.61,斉藤農林合同会社鑑定所,カナダ
2.12,Very Good,F,VS2,62.1,63.9,12174,5.91,5.66,3.32,橋本鉱業有限会社鑑定所,南アフリカ
1.24,Premium,F,IF,56.8,58.8,4778,5.04,4.94,3.14,有限会社高橋情報鑑定所,カナダ
0.58,Ideal,D,IF,59.0,62.9,1375,3.95,3.91,2.31,斉藤水産有限会社鑑定所,カナダ
0.93,Premium,D,VS2,65.0,61.8,3077,4.8,4.52,2.67,株式会社渡辺電気鑑定所,南アフリカ
0.99,Ideal,E,I1,58.9,57.6,3228,4.61,4.5,2.48,福田電気合同会社鑑定所,オーストラリア
1.34,Very Good,H,VVS2,56.1,62.2,6228,5.14,5.18,3.45,池田ガス有限会社鑑定所,ボツワナ
0.57,Ideal,H,VVS1,58.4,58.6,1012,3.87,3.82,2.17,伊藤通信株式会社鑑定所,ボツワナ
1.0,Very Good,H,IF,52.6,61.3,2902,4.69,4.53,3.16,鈴木建設合同会社鑑定所,カナダ
1.38,Premium,E,IF,60.2,54.6,5795,4.91,4.75,3.16,有限会社中村農林鑑定所,カナダ
2.4,Premium,I,VVS1,56.4,59.0,17697,6.39,6.21,3.9,伊藤銀行有限会社鑑定所,オーストラリア
1.33,Good,H,VVS2,58.0,58.1,5568,5.31,5.24,3.13,株式会社斎藤農林鑑定所,オーストラリア
0.72,Very Good,E,VVS2,60.0,57.7,1310,4.17,3.97,2.53,有限会社田中保険鑑定所,カナダ
1.09,Fair,H,VVS1,59.4,62.2,2673,4.92,4.94,3.57,長谷川情報有限会社鑑定所,南アフリカ
1.19,Ideal,J,VVS2,62.9,65.3,5445,4.9,4.8,3.25,前田銀行合同会社鑑定所,オーストラリア
0.71,Premium,H,SI2,62.6,56.4,1641,4.18,4.11,2.52,小林運輸合同会社鑑定所,オーストラリア
1.23,Premium,J,VVS1,60.2,62.7,4764,5.09,4.97,2.52,合同会社加藤建設鑑定所,カナダ
1.3,Very Good,G,IF,66.6,62.1,4781,5.06,4.83,3.31,鈴木運輸有限会社鑑定所,ボツワナ
1.09,Premium,I,VS1,71.2,57.6,4164,4.47,4.31,2.55,田中運輸有限会社鑑定所,ボツワナ
1.28,Ideal,D,SI1,66.2,57.6,6025,4.73,4.79,3.46,合同会社加藤鉱業鑑定所,オーストラリア
0.31,Ideal,D,VVS2,60.0,61.4,500,3.0,3.0,1.83,株式会社井上保険鑑定所,ボツワナ
1.17,Good,F,VS1,57.7,58.7,2995,4.95,5.02,2.96,株式会社林農林鑑定所,ボツワナ
0.49,Premium,I,SI2,58.0,62.1,788,3.55,3.4,2.13,後藤鉱業有限会社鑑定所,南アフリカ
1.26,Premium,H,SI1,52.1,57.8,5065,4.95,4.79,2.51,株式会社木村食品鑑定所,ボツワナ
1.59,Very Good,I,VS2,52.7,58.8,7841,5.68,5.63,3.71,山口運輸有限会社鑑定所,ロシア
0.81,Very Good,J,VVS1,56.4,60.9,1746,4.25,4.25,2.77,前田情報有限会社鑑定所,カナダ
1.57,Very Good,J,IF,63.4,58.2,7802,5.76,5.66,2.99,佐藤ガス株式会社鑑定所,南アフリカ
0.82,Ideal,G,I1,73.7,60.2,2699,4.8,4.6,2.95,松本保険合同会社鑑定所,南アフリカ
1.03,Ideal,D,VVS2,59.4,59.4,3915,4.92,4.86,2.45,有限会社池田通信鑑定所,オーストラリア
0.62,Very Good,H,VVS1,58.0,62.4,1065,3.61,3.53,2.4,藤田運輸合同会社鑑定所,カナダ
1.54,Ideal,J,VS1,64.4,60.1,9589,5.29,5.25,3.32,山田水産合同会社鑑定所,南アフリカ
1.27,Premium,G,VVS2,57.7,57.4,4935,5.28,5.04,3.2,有限会社鈴木水産鑑定所,ボツワナ
2.02,Very Good,J,VS2,58.2,57.2,11365,6.21,5.79,3.75,鈴木情報株式会社鑑定所,南アフリカ
0.69,Ideal,D,I1,62.0,58.0,1805,3.62,3.55,2.12,有限会社山口通信鑑定所,南アフリカ
0.83,Very Good,J,VS1,59.6,60.0,2272,4.33,4.32,2.86,山口保険株式会社鑑定所,オーストラリア
1.27,Ideal,I,VS2,65.2,57.3,5816,4.85,4.74,2.95,株式会社太田電気鑑定所,ボツワナ
0.88,Fair,E,SI2,61.2,57.2,1585,4.56,4.52,2.65,合同会社斎藤印刷鑑定所,オーストラリア
0.9,Ideal,J,SI1,58.2,63.9,2522,4.45,4.39,2.49,株式会社石井鉱業鑑定所,カナダ
0.56,Premium,F,SI2,64.6,58.3,1199,3.43,3.44,2.1,株式会社鈴木電気鑑定所,ボツワナ
0.93,Good,I,I1,62.1,62.2,2435,4.35,4.22,2.82,佐藤印刷有限会社鑑定所,ロシア
0.42,Fair,E,VS2,68.1,59.7,500,3.41,3.39,1.92,株式会社斎藤鉱業鑑定所,ボツワナ
1.06,Very Good,I,VS2,68.4,62.2,3441,4.76,4.74,2.7,村上建設合同会社鑑定所,オーストラリア
0.63,Premium,E,IF,51.7,54.3,1274,4.06,3.93,1.99,伊藤水産有限会社鑑定所,ボツワナ
1.75,Ideal,E,IF,64.0,63.6,13469,5.43,5.32,3.21,池田水産合同会社鑑定所,南アフリカ
0.95,Premium,G,SI2,54.8,58.1,2507,4.34,4.27,3.13,合同会社池田水産鑑定所,ボツワナ
0.58,Premium,E,VVS2,67.4,62.2,1166,3.91,3.87,2.3,佐藤通信合同会社鑑定所,南アフリカ
0.84,Very Good,I,VS1,63.0,58.6,2375,4.57,4.48,2.63,高橋印刷合同会社鑑定所,オーストラリア
1.2,Premium,I,SI1,59.7,56.6,5355,5.17,5.02,3.42,山本電気合同会社鑑定所,カナダ
0.53,Premium,G,VS1,64.6,59.7,984,3.88,3.83,2.16,佐藤印刷株式会社鑑定所,カナダ
0.79,Good,H,I1,62.5,58.0,1207,4.65,4.5,2.53,中村運輸株式会社鑑定所,オーストラリア
0.68,Premium,F,IF,62.5,57.4,1625,4.0,3.97,2.48,株式会社近藤鉱業鑑定所,ロシア
0.39,Premium,D,I1,59.9,54.9,510,3.52,3.48,1.82,小林電気合同会社鑑定所,カナダ
2.38,Very Good,E,SI1,67.0,61.4,16683,6.03,5.85,3.67,森鉱業株式会社鑑定所,ロシア
1.58,Very Good,D,SI2,66.6,57.0,8376,5.22,5.05,2.9,斎藤電気株式会社鑑定所,ボツワナ
0.83,Very Good,G,VVS1,56.7,60.3,1690,4.25,4.07,2.6,有限会社中島電気鑑定所,オーストラリア
1.02,Ideal,D,I1,59.9,58.4,3658,4.82,4.83,3.33,吉田建設株式会社鑑定所,ボツワナ
1.36,Very Good,E,IF,62.9,58.0,5203,5.26,5.33,3.13,有限会社渡辺印刷鑑定所,ボツワナ
0.75,Good,H,I1,59.9,57.3,1550,4.33,4.24,2.61,山下保険合同会社鑑定所,ロシア
2.21,Good,F,SI1,58.7,61.6,11760,5.94,5.76,3.91,太田銀行合同会社鑑定所,南アフリカ
0.56,Premium,H,SI2,59.6,61.7,772,4.13,4.12,2.41,株式会社田中建設鑑定所,ロシア
1.62,Premium,I,SI1,59.1,57.4,7803,5.21,5.16,2.65,前田銀行株式会社鑑定所,ロシア
1.59,Premium,F,I1,61.4,55.0,9564,5.6,5.39,3.27,合同会社藤井電気鑑定所,ロシア
0.96,Ideal,J,VS2,70.2,60.8,3341,4.27,4.19,2.64,合同会社山口銀行鑑定所,ボツワナ
0.92,Premium,I,SI1,58.4,58.5,2574,4.47,4.4,2.48,吉田建設株式会社鑑定所,南アフリカ
0.95,Premium,J,VS2,61.9,63.1,3078,4.59,4.58,3.17,伊藤電気株式会社鑑定所,ボツワナ
0.37,Ideal,E,VS2,61.5,57.2,521,3.09,3.0,1.99,西村保険株式会社鑑定所,オーストラリア
0.43,Very Good,D,VVS1,59.5,60.8,643,3.2,3.16,1.62,株式会社長谷川建設鑑定所,ロシア
1.9,Premium,E,VS1,62.7,61.9,11387,5.84,5.71,3.61,合同会社山田農林鑑定所,ボツワナ
1.0,Very Good,H,IF,64.8,63.9,3143,4.1,3.94,2.22,石川運輸合同会社鑑定所,ロシア
0.62,Very Good,J,VS1,55.6,56.2,1084,3.98,3.98,2.59,合同会社佐藤電気鑑定所,南アフリカ
1.01,Fair,G,I1,55.4,59.1,2631,4.56,4.41,2.28,小林建設合同会社鑑定所,オーストラリア
0.63,Good,I,VVS2,53.3,55.0,1094,4.01,3.93,2.43,有限会社長谷川水産鑑定所,ボツワナ
1.43,Good,E,SI2,56.6,62.0,5965,5.51,5.4,3.0,佐々木銀行株式会社鑑定所,オーストラリア
0.69,Premium,H,IF,69.8,57.1,1479,4.08,4.16,2.55,合同会社藤田印刷鑑定所,ボツワナ
0.85,Ideal,F,I1,70.5,54.7,2652,4.55,4.58,2.71,株式会社佐藤ガス鑑定所,カナダ
1.43,Premium,G,VS2,57.5,59.6,6469,5.45,5.47,3.18,合同会社阿部鉱業鑑定所,ボツワナ
1.95,Premium,H,I1,64.2,61.4,12666,5.67,5.42,3.07,合同会社伊藤通信鑑定所,オーストラリア
1.21,Premium,G,VVS1,61.2,61.3,3885,5.01,4.98,3.2,山口印刷株式会社鑑定所,カナダ
0.75,Very Good,J,VS2,61.8,62.2,1662,4.37,4.03,2.92,鈴木ガス株式会社鑑定所,ボツワナ
1.98,Good,F,VVS1,65.4,57.8,11719,5.74,5.67,3.63,林保険合同会社鑑定所,カナダ
0.63,Premium,I,SI1,55.9,56.7,1362,3.93,3.88,2.33,株式会社山下保険鑑定所,南アフリカ
0.89,Ideal,E,VVS2,52.3,59.2,3094,4.28,4.12,2.57,中村保険株式会社鑑定所,南アフリカ
1.13,Good,D,IF,54.9,61.6,3584,4.9,4.65,3.3,株式会社西村農林鑑定所,ロシア
1.0,Premium,J,VS1,58.8,66.3,3169,4.77,4.67,2.66,山田ガス有限会社鑑定所,ロシア
0.77,Very Good,G,VVS1,61.3,61.9,1448,4.18,4.13,2.54,株式会社中村鉱業鑑定所,ロシア
0.87,Good,D,VVS1,62.9,63.6,1876,4.67,4.63,2.97,有限会社山本水産鑑定所,ボツワナ
1.53,Ideal,E,IF,62.4,60.1,7883,5.1,5.05,3.37,遠藤水産株式会社鑑定所,南アフリカ
0.86,Good,D,VS2,58.8,56.8,1779,4.6,4.48,3.1,山本農林合同会社鑑定所,ロシア
0.89,Premium,E,VS1,66.0,57.3,2409,4.43,4.24,2.4,株式会社山口通信鑑定所,ボツワナ
1.32,Premium,E,SI2,55.3,63.1,4945,4.51,4.46,2.64,合同会社山口運輸鑑定所,カナダ
0.42,Very Good,I,VVS1,58.8,61.2,500,3.58,3.58,1.85,鈴木情報有限会社鑑定所,南アフリカ
0.73,Premium,E,VS2,60.7,61.0,1605,4.45,4.28,2.33,株式会社福田水産鑑定所,ロシア
1.2,Very Good,D,SI1,66.4,56.3,4153,4.78,4.74,3.03,株式会社鈴木電気鑑定所,南アフリカ
1.38,Very Good,J,SI2,55.4,62.9,5280,4.81,4.59,2.95,合同会社中島銀行鑑定所,カナダ
1.17,Very Good,G,SI1,64.4,64.3,3778,4.68,4.51,3.18,田中通信合同会社鑑定所,ボツワナ
0.97,Fair,J,VS1,63.1,62.1,2247,4.88,4.83,2.96,株式会社前田運輸鑑定所,オーストラリア
0.78,Ideal,D,VS2,59.3,55.8,2612,4.18,4.01,2.63,株式会社坂本通信鑑定所,ロシア
1.44,Premium,D,VS2,60.1,66.5,7372,5.09,5.14,3.3,斎藤銀行合同会社鑑定所,カナダ
0.69,Good,H,VS2,58.8,56.6,1141,4.13,4.12,2.49,合同会社山本水産鑑定所,ロシア
0.61,Fair,E,VVS1,56.5,57.9,919,3.74,3.75,2.24,合同会社加藤建設鑑定所,ロシア
0.46,Very Good,D,SI1,60.4,61.0,776,3.45,3.32,2.17,高橋電気有限会社鑑定所,ロシア
2.58,Premium,J,IF,62.4,56.8,24919,6.66,6.39,4.07,有限会社村上建設鑑定所,カナダ
1.42,Premium,I,IF,57.3,56.1,6329,5.06,5.14,2.63,合同会社小林印刷鑑定所,南アフリカ
0.47,Premium,I,I1,63.2,59.9,805,3.65,3.66,2.21,山下運輸有限会社鑑定所,カナダ
0.98,Premium,G,SI2,54.9,56.7,2967,5.0,4.81,2.88,株式会社田中印刷鑑定所,ロシア
0.86,Very Good,H,IF,54.4,58.4,2208,4.18,3.98,3.05,佐藤運輸株式会社鑑定所,南アフリカ
1.29,Premium,D,VS2,61.3,58.4,6108,5.13,4.88,3.18,株式会社渡辺通信鑑定所,南アフリカ
2.21,Premium,G,VVS1,55.9,61.3,13259,5.78,5.69,3.77,有限会社加藤情報鑑定所,南アフリカ
1.55,Premium,J,I1,59.7,59.9,7719,5.31,5.06,3.47,長谷川農林有限会社鑑定所,カナダ
0.65,Premium,H,SI2,65.6,62.0,1485,3.85,3.65,2.24,池田銀行合同会社鑑定所,ロシア
1.0,Very Good,J,VS2,62.7,57.9,3253,4.21,4.16,3.06,合同会社佐々木運輸鑑定所,カナダ
3.18,Premium,J,VVS1,61.0,63.2,32658,6.97,6.75,3.84,福田保険合同会社鑑定所,ロシア
1.69,Premium,F,VS2,56.6,57.4,9508,5.41,5.16,3.36,合同会社前田食品鑑定所,ボツワナ
1.72,Very Good,I,I1,57.6,62.8,9200,5.8,5.65,3.2,有限会社井上建設鑑定所,ロシア
0.41,Very Good,E,SI1,62.4,61.4,500,3.12,3.06,1.5,株式会社小林電気鑑定所,カナダ
1.06,Fair,E,IF,64.6,61.9,2614,4.73,4.72,2.98,合同会社山本水産鑑定所,ボツワナ
1.43,Premium,J,VVS2,61.5,65.7,6430,5.01,4.95,2.98,清水ガス合同会社鑑定所,オーストラリア
1.01,Ideal,D,IF,70.6,63.9,4043,4.49,4.33,2.7,株式会社藤田建設鑑定所,南アフリカ
1.73,Very Good,D,VVS1,64.6,59.7,9589,5.4,5.16,2.89,株式会社小林農林鑑定所,カナダ
1.62,Very Good,E,VS1,61.1,58.3,8035,5.62,5.67,3.05,橋本鉱業合同会社鑑定所,ボツワナ
0.66,Premium,F,SI2,67.6,60.8,1260,3.85,3.62,2.21,伊藤運輸有限会社鑑定所,南アフリカ
0.75,Ideal,H,SI2,64.1,60.7,1707,4.2,4.19,2.25,株式会社伊藤ガス鑑定所,カナダ
0.84,Premium,F,VS1,63.5,57.5,2564,4.3,4.21,2.54,佐藤鉱業株式会社鑑定所,ボツワナ
1.54,Fair,I,VS1,60.6,61.6,5746,5.2,4.91,3.19,合同会社小林通信鑑定所,オーストラリア
1.04,Very Good,H,SI1,59.6,55.7,3604,4.49,4.53,2.74,岡田ガス有限会社鑑定所,ロシア
0.78,Ideal,F,VVS2,60.9,64.9,2126,4.34,4.34,2.77,合同会社小林建設鑑定所,カナダ
1.39,Very Good,G,SI2,50.4,59.9,5354,5.17,5.08,3.59,山崎通信合同会社鑑定所,ボツワナ
1.06,Very Good,E,VS1,58.2,57.3,2617,4.41,4.34,2.53,田中運輸株式会社鑑定所,ロシア
1.99,Premium,F,I1,52.1,61.5,14230,6.12,6.14,3.89,加藤鉱業有限会社鑑定所,カナダ
1.17,Very Good,G,SI2,52.9,60.3,4000,5.2,5.01,2.77,有限会社松田鉱業鑑定所,カナダ
0.75,Very Good,J,VS2,57.5,60.9,1748,4.13,4.0,2.51,岡田水産株式会社鑑定所,カナダ
1.72,Very Good,E,VS1,57.1,61.4,9601,5.45,5.18,2.84,合同会社藤田ガス鑑定所,南アフリカ
0.81,Fair,E,IF,57.3,59.5,1667,4.26,4.27,2.82,合同会社前田通信鑑定所,ボツワナ
0.73,Good,I,VS1,57.2,60.3,1410,4.22,4.18,2.62,近藤通信合同会社鑑定所,ロシア
0.83,Premium,D,VVS2,66.7,59.6,2016,4.29,4.15,2.58,中島電気株式会社鑑定所,カナダ
1.25,Ideal,D,VS2,49.5,57.8,4847,5.06,4.97,3.06,株式会社太田電気鑑定所,南アフリカ
1.53,Very Good,F,VVS2,64.3,58.7,6778,4.92,4.76,2.86,株式会社松田食品鑑定所,南アフリカ
0.7,Very Good,H,VVS2,52.6,59.4,1549,4.42,4.47,2.62,高橋情報合同会社鑑定所,ボツワナ
1.12,Good,H,VVS1,54.2,61.4,3189,5.39,5.48,2.76,合同会社中村水産鑑定所,ボツワナ
0.93,Ideal,I,VS1,65.9,65.5,3454,4.4,4.36,2.73,株式会社高橋農林鑑定所,ロシア
1.58,Ideal,J,VVS2,57.1,62.9,9357,5.58,5.47,3.7,合同会社山田農林鑑定所,オーストラリア
0.6,Very Good,H,VVS1,57.0,56.3,1197,3.92,3.79,2.44,有限会社小川鉱業鑑定所,南アフリカ
1.66,Good,J,I1,58.5,58.4,7515,5.8,5.79,3.74,西村建設合同会社鑑定所,カナダ
0.56,Very Good,I,VVS1,60.3,60.7,968,3.81,3.61,2.29,山本通信株式会社鑑定所,カナダ
0.74,Premium,G,VVS2,58.8,60.5,1883,4.37,4.22,2.39,株式会社渡辺建設鑑定所,ロシア
0.61,Premium,I,SI2,48.9,64.9,1189,3.73,3.71,2.17,佐藤水産有限会社鑑定所,カナダ
1.66,Very Good,D,I1,57.4,56.9,8209,5.27,5.25,3.31,有限会社阿部建設鑑定所,南アフリカ
1.05,Very Good,J,I1,57.5,60.1,3424,4.51,4.51,2.43,株式会社橋本農林鑑定所,ロシア
1.27,Premium,E,VS1,56.3,62.1,5173,4.8,4.72,2.66,有限会社藤田建設鑑定所,カナダ
1.74,Premium,D,I1,50.8,63.4,9899,5.4,5.36,3.22,山本保険株式会社鑑定所,ロシア
0.25,Premium,F,VS1,62.0,59.8,500,3.17,3.06,2.02,合同会社林ガス鑑定所,ロシア
0.99,Ideal,H,IF,63.5,57.6,3643,4.17,4.04,2.25,石川通信有限会社鑑定所,オーストラリア
0.46,Ideal,J,VS2,61.2,60.0,756,3.55,3.42,2.31,合同会社鈴木情報鑑定所,南アフリカ
0.69,Very Good,J,I1,57.1,59.6,1503,4.19,4.15,2.48,中村保険有限会社鑑定所,南アフリカ
